title_ar,title_en,description_ar,description_en,slug,price,currency,is_published,is_for_sale,student_pass_included,legacy_only,image_url
"دورة الكونتو","","","","دورة-الكونتو","","","false","false","false","false",""
"دورة الغيب","","","","دورة-الغيب","","","false","false","false","false",""
"دور جزيئات القدر","","","","دور-جزيئات-القدر","","","false","false","false","false",""
"دورة الاستدعاء روحي","","","","دورة-الاستدعاء-روحي","","","false","false","false","false",""
"دورة هندسة الوجود","","","","دورة-هندسة-الوجود","","","false","false","false","false",""
"دورة الحجامة الاحترافية","","","","دورة-الحجامة-الاحترافية","","","false","false","false","false",""
"دورة الاستيقاظ المستوى الأول","","","","دورة-الاستيقاظ-المستوى-الأول","","","false","false","false","false",""
"دورة الاستيقاظ المستوى الثاني","","","","دورة-الاستيقاظ-المستوى-الثاني","","","false","false","false","false",""
"دورة الاستيقاظ المستوى الثالث","","","","دورة-الاستيقاظ-المستوى-الثالث","","","false","false","false","false",""
"دورة الاستيقاظ المستوى الرابع","","","","دورة-الاستيقاظ-المستوى-الرابع","","","false","false","false","false",""
